PlayerID,CountryID,Played For National Team,Caps,International goals
374529,8,True,2,0
274329,26,True,9,0
274283,26,True,3,0
356518,26,True,3,0
288824,25,True,1,0
329092,1,True,12,0
319432,9,True,11,0
370438,14,True,2,0
270948,6,True,6,0
323574,19,True,6,0
365747,8,True,10,0
366309,11,True,5,0
350124,1,True,21,0
305382,7,True,14,0
319413,27,True,5,0
380069,12,True,2,0
319340,30,True,3,0
274281,26,True,5,0
368009,16,True,11,0
336434,30,True,5,0
323556,27,True,8,0
370523,5,True,3,0
375453,23,True,3,0
356710,16,True,10,0
364088,11,True,5,0
356712,16,True,9,0
312116,7,True,28,0
358869,29,True,3,0
379942,11,True,1,0
321736,13,True,12,0
379974,32,True,1,0
356466,13,True,11,0
371042,1,True,7,0
269071,19,True,16,0
336869,28,True,17,0
270400,22,True,19,0
358106,31,True,16,0
320375,14,True,22,0
313021,9,True,11,0
379808,8,True,2,0
376349,23,True,3,0
358009,17,True,9,0
376285,11,True,2,0
358885,29,True,2,0
336485,21,True,6,0
379952,12,True,1,0
313051,9,True,2,0
339117,2,True,6,0
379164,2,True,1,0
306364,2,True,6,0
346731,3,True,3,0
307541,32,True,22,0
355859,14,True,1,0
313410,6,True,7,0
330565,17,True,16,0
315614,24,True,5,0
358732,9,True,8,0
380004,5,True,1,0
373555,20,True,4,0
359440,30,True,5,0
308082,1,True,14,0
369546,24,True,2,0
313559,15,True,21,0
376360,5,True,1,0
367557,5,True,1,0
359223,25,True,10,0
358101,8,True,9,0
370522,5,True,7,0
339116,2,True,1,0
380060,14,True,3,0
368708,23,True,2,0
315436,16,True,1,0
356704,24,True,4,0
312014,16,True,4,0
336791,14,True,8,0
370469,19,True,8,0
362645,27,True,2,0
379736,12,True,2,0
369392,17,True,4,0
315424,16,True,17,0
376230,8,True,4,0
336085,9,True,1,0
339987,21,True,9,0
368860,30,True,2,0
336098,9,True,6,0
368973,20,True,4,0
379939,11,True,2,0
379911,31,True,1,0
368655,7,True,5,0
369094,20,True,2,0
332827,28,True,2,0
336043,17,True,3,0
336450,17,True,1,0
319482,7,False,0,0
367415,8,False,0,0
380663,31,False,0,0
306818,26,False,0,0
360642,24,False,0,0
269859,6,False,0,0
356676,15,False,0,0
369026,21,False,0,0
309420,25,False,0,0
379165,2,False,0,0
369050,21,False,0,0
380000,21,False,0,0
380009,22,False,0,0
379910,31,False,0,0
